trade_type,ticker_type,exchange_id,max_open,max_cancel,max_large_cancel,option_max_long, option_max_short
Commodity_Future,ag,20,10000,450,40,0,0
Commodity_Future,al,20,10000,450,40,0,0
Commodity_Future,au,20,10000,450,40,200,200
Commodity_Future,bu,20,10000,450,40,0,0
Commodity_Future,cu,20,10000,450,40,200,200
Commodity_Future,fu,20,10000,450,40,0,0
Commodity_Future,hc,20,10000,450,40,0,0
Commodity_Future,ni,20,10000,450,40,0,0
Commodity_Future,pb,20,10000,450,40,0,0
Commodity_Future,rb,20,10000,450,40,0,0
Commodity_Future,ru,20,10000,450,40,0,0
Commodity_Future,sn,20,10000,450,40,0,0
Commodity_Future,wr,20,10000,450,40,0,0
Commodity_Future,sp,20,10000,450,40,0,0
Commodity_Future,zn,20,10000,450,40,0,0
Commodity_Future,a,21,10000,450,350,0,0
Commodity_Future,b,21,10000,450,350,0,0
Commodity_Future,bb,21,10000,450,350,0,0
Commodity_Future,c,21,10000,450,350,0,0
Commodity_Future,cs,21,10000,450,350,0,0
Commodity_Future,eg,21,10000,450,350,0,0
Commodity_Future,fb,21,10000,450,350,0,0
Commodity_Future,i,21,10000,450,350,0,0
Commodity_Future,j,21,10000,450,350,0,0
Commodity_Future,jd,21,10000,450,350,0,0
Commodity_Future,jm,21,10000,450,350,0,0
Commodity_Future,l,21,10000,450,350,0,0
Commodity_Future,m,21,10000,450,350,300,300
Commodity_Future,p,21,10000,450,350,0,0
Commodity_Future,pp,21,10000,450,350,0,0
Commodity_Future,v,21,10000,450,350,0,0
Commodity_Future,y,21,10000,450,350,0,0
Commodity_Future,AP,22,10000,450,40,0,0
Commodity_Future,CF,22,10000,450,40,0,0
Commodity_Future,CY,22,10000,450,40,0,0
Commodity_Future,FG,22,10000,450,40,0,0
Commodity_Future,JR,22,10000,450,40,0,0
Commodity_Future,LR,22,10000,450,40,0,0
Commodity_Future,MA,22,10000,450,40,0,0
Commodity_Future,OI,22,10000,450,40,0,0
Commodity_Future,PM,22,10000,450,40,0,0
Commodity_Future,RI,22,10000,450,40,0,0
Commodity_Future,RM,22,10000,450,40,0,0
Commodity_Future,RS,22,10000,450,40,0,0
Commodity_Future,SF,22,10000,450,40,0,0
Commodity_Future,SM,22,10000,450,40,0,0
Commodity_Future,SR,22,10000,450,40,200,200
Commodity_Future,TA,22,10000,450,40,0,0
Commodity_Future,WH,22,10000,450,40,0,0
Commodity_Future,ZC,22,10000,450,40,0,0
Commodity_Future,sc,35,1500,450,40,0,0
Index_Future,SH000905,25,500,350,40,0,0
Index_Future,SHSZ300,25,500,350,40,0,0
Index_Future,SSE50,25,500,350,40,0,0
TreasuryBond_Future,T,25,10000,350,40,0,0
TreasuryBond_Future,TF,25,10000,350,40,0,0
TreasuryBond_Future,TS,25,10000,350,40,0,0
Mutualfund,510050,18,10000000,500,500,0,0
Stock_Option,510050,18,1000,500,500,0,0
Commodity_Option,au,20,10000,450,40,0,0
Commodity_Option,cu,20,10000,450,40,0,0
Commodity_Option,m,21,10000,450,350,0,0
Commodity_Option,SR,22,10000,450,40,0,0
